home,away,area,scoreHome,scoreAway
Puerto Rico,San Cristóbal y Nieves,nccamerica,1,1
Bermudas,Trinidad y Tobago,nccamerica,2,1
Islas Caimán,Surinam,nccamerica,0,1
Dominica,Panamá,nccamerica,0,5
Barbados,Guyana,nccamerica,0,2
Islas Vírgenes Estadounidenses,Haití,nccamerica,0,7
Belice,Granada,nccamerica,1,4
República Dominicana,El Salvador,nccamerica,1,2
San Vicente y las Granadinas,Guatemala,nccamerica,0,3
Marruecos,Costa de Marfil,africa,2,2
Namibia,Kenia,africa,1,0
Guinea Ecuatorial,Sierra Leona,africa,2,2
Cabo Verde,Túnez,africa,1,2
Uganda,Senegal,africa,1,1
Gabón,Burkina Faso,africa,1,0
Congo,Níger,africa,1,0
Zambia,Ghana,africa,1,0
Botsuana,Sudáfrica,africa,1,1
Malaui,Nigeria,africa,1,1
San Vicente y las Granadinas,Granada,nccamerica,2,1
Puerto Rico,Canadá,nccamerica,0,3
Guyana,Bermudas,nccamerica,2,1
Curazao,Haití,nccamerica,2,4
Islas Caimán,El Salvador,nccamerica,1,4
Nicaragua,Panamá,nccamerica,1,2
Santa Lucía,San Cristóbal y Nieves,nccamerica,2,4
Belice,Guatemala,nccamerica,1,2
Barbados,Trinidad y Tobago,nccamerica,0,2
Islas Vírgenes Estadounidenses,Antigua y Barbuda,nccamerica,1,8
Nigeria,Namibia,africa,1,0
Benín,Mali,africa,1,0
Angola,Uganda,africa,1,1
Togo,Libia,africa,1,1
Zimbabue,Guinea,africa,0,1
Sudáfrica,Etiopía,africa,1,1
Argelia,Ruanda,africa,4,0
Túnez,Guinea Ecuatorial,africa,3,1
Senegal,Liberia,africa,3,1
Costa de Marfil,Tanzania,africa,2,0
República Dominicana,Surinam,nccamerica,1,1
Canadá,Santa Lucía,nccamerica,4,1
Guatemala,San Vicente y las Granadinas,nccamerica,4,0
San Cristóbal y Nieves,Puerto Rico,nccamerica,0,0
Guyana,Barbados,nccamerica,2,0
El Salvador,República Dominicana,nccamerica,3,2
Antigua y Barbuda,Curazao,nccamerica,5,2
Dominica,Nicaragua,nccamerica,0,2
Surinam,Islas Caimán,nccamerica,1,0
Sierra Leona,Cabo Verde,africa,2,1
Gambia,Marruecos,africa,1,1
Kenia,Malaui,africa,0,0
Camerún,RD del Congo,africa,1,0
República Centroafricana,Botsuana,africa,2,0
Egipto,Mozambique,africa,2,0
Ghana,Lesoto,africa,7,0
Etiopía,Somalia,africa,5,0
Namibia,Yibuti,africa,4,0
Mozambique,Comoras,africa,4,1
Trinidad y Tobago,Bermudas,nccamerica,1,0
Granada,Belice,nccamerica,0,3
Haití,Islas Vírgenes Estadounidenses,nccamerica,6,0
Belice,Montserrat,nccamerica,3,1
Santa Lucía,Aruba,nccamerica,4,2
República Dominicana,Anguila,nccamerica,4,0
Islas Vírgenes Británicas,Islas Vírgenes Estadounidenses,nccamerica,1,2
Bahamas,Turcas y Caicos,nccamerica,6,0
Aruba,Santa Lucía,nccamerica,4,2
Anguila,República Dominicana,nccamerica,0,2
Tanzania,Chad,africa,0,1
Kenia,Seychelles,africa,4,0
Madagascar,Guinea Ecuatorial,africa,2,1
Congo,Santo Tomé y Príncipe,africa,1,1
RD del Congo,Suazilandia,africa,5,1
Ruanda,Eritrea,africa,3,1
Togo,Guinea-Bissáu,africa,1,0
Burundi,Lesoto,africa,2,2
Somalia,Etiopía,africa,0,0
Lesoto,Burundi,africa,1,0
Islas Vírgenes Estadounidenses,Islas Vírgenes Británicas,nccamerica,2,0
Turcas y Caicos,Bahamas,nccamerica,0,4
Montserrat,Belice,nccamerica,2,5
Seychelles,Kenia,africa,0,3
Guinea-Bissáu,Togo,africa,1,1
Guinea Ecuatorial,Madagascar,africa,2,0
Chad,Tanzania,africa,1,2
Suazilandia,RD del Congo,africa,1,3
Eritrea,Ruanda,africa,1,1
Yibuti,Namibia,africa,0,4
Comoras,Mozambique,africa,0,1
Santo Tomé y Príncipe,Congo,africa,0,5
Nigeria,Argentina,oceania,2,3
Bosnia y Herzegovina,Irán,oceania,3,1
Honduras,Suiza,oceania,0,3
Ecuador,Francia,oceania,0,0
EEUU,Alemania,oceania,0,1
Portugal,Ghana,oceania,2,1
República de Corea,Bélgica,oceania,0,1
Argelia,Rusia,oceania,1,1
EEUU,Alemania,oceania,0,1
Nueva Zelanda,México,oceania,2,4
México,Nueva Zelanda,oceania,5,1
Nueva Caledonia,Tahití,oceania,1,0
Islas Salomón,Nueva Zelanda,oceania,0,2
Tahití,Islas Salomón,oceania,2,0
Nueva Zelanda,Nueva Caledonia,oceania,2,1
Nueva Zelanda,Tahití,oceania,3,0
Nueva Caledonia,Islas Salomón,oceania,5,0
Tahití,Nueva Zelanda,oceania,0,2
Islas Salomón,Nueva Caledonia,oceania,2,6
Tahití,Nueva Caledonia,oceania,0,4
